iteration,barl,bayes,epopt
0.0,-167.55233259620212,-57.314816643587754,-42.288110004484594
1.0,-158.0317939217025,-48.65568414272087,-34.323347418991176
2.0,-143.53710364979577,-34.881088559201366,-26.042284667491483
3.0,-126.21587089740947,-24.090149304166964,-19.12063822653924
4.0,-110.32701277756345,-11.084799652321372,-12.047317067651354
5.0,-92.87987084441824,6.944387539516465,-3.164859705024257
6.0,-74.62500313046077,20.21300773881496,5.0187172954993855
7.0,-61.81074620161653,29.96895703699323,7.740304516540778
8.0,-45.37734569571599,45.54300078620735,15.74933293346066
9.0,-29.893941291165618,53.50162463001003,23.809885011969236
10.0,-23.880188942886228,63.30498730115029,24.159920639280024
11.0,-10.837954859881563,76.58073866345472,32.894875258442205
12.0,-6.603337654701762,84.6315477637963,37.842117793740904
13.0,6.39853318748996,95.88972704326656,45.58493708811663
14.0,6.926180392935552,106.50662813731846,47.474239362279526
15.0,11.879848647245979,119.08943776696935,52.542993435585394
16.0,19.34912167422981,122.90844713213711,55.706951277599565
17.0,17.147541220223676,135.24777032926758,65.04648227016813
18.0,22.452093450504858,142.2363691970613,66.29215054942647
19.0,24.97388701673555,145.09587524563273,71.76850943379655
20.0,27.89557680730304,158.06551166365853,79.13372428865611
21.0,31.106209839962233,155.47965800687714,77.60755969593428
22.0,36.6666220936749,164.67498819063167,82.46561032920947
23.0,35.22260404846322,170.34367335698252,88.31264127449701
24.0,36.3513049769817,180.25090767790877,91.41239245004456
25.0,41.872504602844245,186.69940254947525,101.10363626301859
26.0,45.55075975379468,183.70737264165743,113.04248370993956
27.0,41.85225652879846,194.298340265722,107.8694554274299
28.0,50.41484491465563,192.34495771339155,111.76341673408456
29.0,44.568998713247,194.51197797046905,119.9631264068313
30.0,55.46821482246443,207.66947566786237,121.77915540331553
31.0,50.58049178619909,203.45599460443486,140.28050112979048
32.0,60.29532339695718,211.15824096469476,129.2578783900758
33.0,58.12117874106608,214.3167177986926,133.98499503523738
34.0,63.42411081086174,221.17911042657087,135.32036866467604
35.0,62.2083988284948,218.40294541661618,140.76703849708682
36.0,70.88638739077233,220.68334765616112,149.8806811154841
37.0,70.8038014335405,223.1075977079976,147.37465998460178
38.0,75.27367028786898,226.57747170186107,150.82412647763474
39.0,79.29086731917214,229.02450790720613,154.20523994960996
40.0,80.3732926563135,231.15100500970954,165.04256576730103
41.0,82.25808302097577,238.90423625720732,162.56489140873683
42.0,85.71873929640749,231.691299163674,158.35495592366334
43.0,87.55144005430434,239.94754170756883,170.8446968363183
44.0,86.23163665509294,238.66569690018977,176.00203142678174
45.0,92.37500263801272,241.11419218036087,188.3335936987171
46.0,100.85519588461874,241.62575504894156,181.9131316157514
47.0,101.94214689773962,248.35688792360244,188.27905318232334
48.0,103.17876603804164,246.14338618575644,197.87032960488577
49.0,108.44838574659062,257.4106384193616,198.00119674260145
50.0,106.55804812463184,254.1819240701028,199.74717812526177
51.0,112.64403783543833,257.993987348822,198.3250118928589
52.0,115.9247514139849,256.59390494775346,206.86016650376007
53.0,121.06414352631442,257.415288994417,202.1427917419054
54.0,126.79588960433085,262.33031797946774,213.43483509469763
55.0,125.5832616464952,268.7186320679146,214.21525413869688
56.0,127.21680812985049,268.3083949039996,217.5693762243685
57.0,133.37626189017996,277.83687610212655,212.65140109701252
58.0,132.1385204915885,276.014182915737,224.27136790146474
59.0,135.9136911717261,276.0680459987499,235.34957879927435
60.0,141.5133369515281,279.6107751355934,232.56678880002306
61.0,144.4919731274743,274.47900668544963,224.47819125459566
62.0,146.17878290402334,280.73926128109565,236.02271726020706
63.0,142.56234937469512,282.08294727699854,237.92043792569527
64.0,154.06561255626048,284.2281400444635,228.98181801013308
65.0,153.57372065979777,278.6944143799474,229.27472431007584
66.0,162.62805780667347,288.07710968779037,240.51347286196804
67.0,158.11267201615536,280.74538295824124,234.23106105939252
68.0,163.8067208677727,286.2865348554841,237.67012812518445
69.0,162.79692378696123,289.1858250606549,241.73654433539173
70.0,171.838420997266,287.8771356388546,249.25561379836202
71.0,175.14281881527924,286.4212409248591,246.13151967179675
72.0,175.47431035302765,293.3908164189218,251.20121857229225
73.0,172.60778128869782,288.21265391077907,246.04161642859586
74.0,175.7358055008244,290.63743896535226,238.56169183668243
75.0,175.88675454091972,298.8073388471075,250.37224146811297
76.0,181.30479190838727,295.8417578700753,249.91292100355588
77.0,185.13933893454262,296.44994110718346,244.92110502199841
78.0,183.32531689031504,297.64183685396057,251.96426314713568
79.0,186.65870991345543,296.21604049988684,241.5970526111343
80.0,192.16934915113288,296.03479142937675,254.32223708776976
81.0,193.5283705307384,302.32159926842223,256.7771401045155
82.0,192.90490247103105,302.71681541389927,252.83224143340064
83.0,195.49207267627514,295.37633054294287,262.4051860176241
84.0,200.15397721095738,301.28516898681426,262.3094811432446
85.0,201.69897010167173,300.2586816419622,260.9691316585213
86.0,195.42069851198065,298.808619737431,261.25042091282756
87.0,195.32028105968192,309.80963056554737,258.45263231869757
88.0,197.5815026687524,311.40942925599995,257.3639355551948
89.0,204.1548565984824,309.6866695069101,263.9766594812533
90.0,203.98880733890113,308.12752616443794,266.65845298583395
91.0,205.65809011648727,306.6989077241479,257.4924929782023
92.0,207.84800846906538,305.5357971960936,265.12386030913075
93.0,209.9105892677355,311.91013930026674,269.44471863200715
94.0,215.91520994541054,318.33127658701153,260.99626926219526
95.0,215.44582419578427,307.76669130625936,264.4700546209463
96.0,215.5283896021078,304.9337232192003,269.09444776854457
97.0,203.77607034439345,313.57741141084887,270.7148214452027
98.0,214.58777914243666,306.27811800292494,264.914003871243
99.0,214.33268304783067,305.7352321214554,275.2049232613309
100.0,216.69337081603123,309.13843417108933,268.12644170363455
101.0,214.53917070936825,312.46367184575263,265.3152722358629
102.0,220.7452468681018,311.54161122691096,272.53831484640716
103.0,222.75520898664738,314.1431841036972,267.73710547858184
104.0,224.25372000392207,311.5308332475338,270.66596726694445
105.0,227.4819496279367,318.9070665437117,271.892822736133
106.0,222.38132969360396,311.06858965796204,280.0723428955551
107.0,222.7279869294169,315.4541203622226,272.18135798654384
108.0,222.36697053226766,319.59356200002543,277.2085170480966
109.0,224.98009207150608,315.86706900034613,274.6685249502675
110.0,227.5232853709724,316.25670169055206,275.19298817048394
111.0,231.37959707270784,319.2591993700711,279.1052571693094
112.0,231.31069963910787,316.66100176010184,271.4177991463296
113.0,229.22540006328703,318.487318963727,281.5156411311674
114.0,233.55152456909232,325.1553398395808,278.0862966231758
115.0,232.12119010452693,321.65131527473073,286.8366363228051
116.0,232.62456934782222,323.7073130495703,283.84052103856624
117.0,232.84094833155234,325.2578487334894,292.1852534615763
118.0,228.58305159699015,329.5858623648177,280.004790388381
119.0,230.83571372794373,321.49944172753766,283.9524795640046
120.0,234.56577230524886,317.82369296617384,286.77527082545674
121.0,234.9864061936406,328.080916289411,289.78463029208166
122.0,234.62494963807015,323.88332809490095,289.9933550977535
123.0,234.65605218899722,324.9264589918906,289.7159122080002
124.0,239.0240216381063,324.6003618686114,296.59806598325866
125.0,236.47122247294135,327.54538165194407,293.55329247312807
126.0,235.28550274628617,323.8754339342289,293.2146346578963
127.0,238.03083360686017,323.77283867062465,302.36271140481233
128.0,238.46305974548181,323.3962104068077,296.4752437888915
129.0,242.52168553027897,326.26082000330433,291.92006690759854
130.0,236.88293334047964,321.143206831249,301.5007659332986
131.0,242.57275590371015,325.68216130782446,297.5926199553198
132.0,243.2827539738505,324.13764215583353,289.75467281639624
133.0,248.12615946868357,329.28511705435164,295.5239640093725
134.0,242.96066692739737,322.05043902452377,301.7315083460009
135.0,241.5660100701566,328.1139490807501,296.07579613087677
136.0,246.08694667996082,326.33915093986303,306.9939650061191
137.0,245.73512834726165,329.03303149192385,287.66168707610194
138.0,241.59267722725954,323.0474395096588,293.56807157854706
139.0,251.99580729610463,328.9929979542632,303.52349065556876
140.0,244.81213937981838,325.874115880383,294.89245495372325
141.0,250.2317255424574,328.8468615808179,302.64692708641917
142.0,250.44652552541234,328.146596126852,302.5747749533672
143.0,242.94897694166016,324.0870036935633,303.29123122994514
144.0,243.30345007455603,332.85320533229094,298.25423988474745
145.0,249.57246889373124,331.91950128567834,309.1934783726936
146.0,252.2260899350425,329.9106077624138,308.05397223283956
147.0,243.8266035108511,325.4287516164006,306.01740446784964
148.0,248.5460117344787,328.9588027150248,313.8055012760491
149.0,253.5844251169481,325.0884961931136,298.5547621796386
150.0,248.89291751432407,324.5618169923972,306.763696047647
151.0,251.527235883423,318.17030460726875,119.5259875799648
152.0,249.4139521611594,332.1476370726259,121.38235821958344
153.0,251.74991789811895,320.61009476541136,131.0205201092273
154.0,250.25972683855477,329.45670914737684,131.43586329369091
155.0,246.92755855555544,326.0826112557483,135.89716026570179
156.0,250.9608518867514,333.4027143061283,131.3770715989996
157.0,253.36551542616886,329.2044077671687,132.7550548103716
158.0,244.82325120730314,323.11765986050807,135.43509467309295
159.0,256.89660120918865,329.377095513546,145.92097527961647
160.0,252.94485102957472,327.50561423781073,140.30605356190796
161.0,255.4731398721366,326.34404014231825,147.74387063837474
162.0,251.12214120710829,337.0433897827481,135.38111666748722
163.0,252.2579462095901,332.3638996612565,145.60079891742677
164.0,252.21461406946477,338.75183209619775,147.23368794247597
165.0,251.9505391638896,339.2454752761042,144.42050960399123
166.0,256.6548653267749,341.60386219700365,147.55758762944512
167.0,252.2629378014093,337.3394957477366,152.4569919160621
168.0,252.0197841320649,338.45773518137435,156.65080974575793
169.0,253.90550249934378,329.5583587975797,150.57041864869748
170.0,255.3197979542469,337.98673555727515,149.4464814108256
171.0,251.9701193862697,330.2044007915127,154.91807234091306
172.0,250.16072926081466,333.1658354405261,154.83727893240876
173.0,252.23594503756377,338.44873754477896,153.91407027354006
174.0,252.48281934920618,340.1245410777896,155.75278954394236
175.0,254.6089758067404,333.68128785108485,153.55533207377536
176.0,255.68662773523207,330.87709415286747,160.246132631162
177.0,252.3385133406158,333.06125434662675,158.11636219954414
178.0,254.31674156415386,339.2435793644085,160.81092941024912
179.0,254.958634809574,335.1835710336881,157.52762678669694
180.0,253.4970338711837,333.1535476152508,160.48293086284878
181.0,255.78005932277185,334.7012372385395,157.2632229890335
182.0,250.14245719815838,340.51575021071443,158.50620756276717
183.0,253.84096050102113,330.0682070942469,160.91134108150203
184.0,256.4052534678355,334.8606779308921,156.79789031093304
185.0,262.018474682927,335.2423431999838,160.06994245837723
186.0,264.74517194005114,326.8878203525569,155.2204262549484
187.0,257.5344202614946,336.78702596940684,158.6083883862426
188.0,261.9621984728312,327.5361201502347,162.2867201940461
189.0,262.73189424354433,330.79260504185766,160.40899419674835
190.0,260.5268863900479,329.0605512562694,159.40036569242832
191.0,259.63935128090003,343.6225133253456,159.39444025697932
192.0,262.5795503893465,335.35428236159964,160.02441032927257
193.0,263.58408148311105,332.4674055792002,158.87875906793286
194.0,266.21489117808187,335.95322324137663,161.680627212767
195.0,265.60951529653585,334.08133045194853,160.52706278233
196.0,251.8792825567039,338.61399528910886,160.5553503240186
197.0,263.44016783823514,330.8605838384265,158.08627161714804
198.0,262.8789719354201,335.5830023600762,157.55438876777632
199.0,258.1256165635269,336.55695697556024,159.92730827718904
200.0,260.83104226917277,334.1509841922858,159.92730827718904
201.0,267.99601466406835,341.2806193201395,159.92730827718904
202.0,260.3994666497186,336.4244345567185,159.92730827718904
203.0,266.0233811096989,336.99958664538127,159.92730827718904
204.0,260.11263717987697,340.8163000169001,159.92730827718904
205.0,264.92119856235183,334.5455722900957,159.92730827718904
206.0,263.90420156101044,337.6342676138236,159.92730827718904
207.0,267.8721784330531,337.8196629256667,159.92730827718904
208.0,266.47407800329734,336.4766712669255,159.92730827718904
209.0,257.2712165037508,335.9008491937475,159.92730827718904
210.0,260.7555933023548,329.3331904379461,159.92730827718904
211.0,266.7297571780081,331.00929398553427,159.92730827718904
212.0,265.72498301793496,334.5502328657083,159.92730827718904
213.0,269.5406743803804,327.1339342187351,159.92730827718904
214.0,265.5015838632326,333.585881707837,159.92730827718904
215.0,271.2855628267794,338.25627569402826,159.92730827718904
216.0,268.7102764567966,340.8958305585182,159.92730827718904
217.0,264.44216894877036,333.98495987850043,159.92730827718904
218.0,264.62343997503234,339.16929948472637,159.92730827718904
219.0,266.23529748907583,333.1135296281686,159.92730827718904
220.0,272.4299799867404,341.8556773255426,159.92730827718904
221.0,265.4516975883178,340.47612246976655,159.92730827718904
222.0,272.4929266424713,337.28743099996683,159.92730827718904
223.0,271.3728365678025,343.9752668116981,159.92730827718904
224.0,262.95464943048944,336.94753396936744,159.92730827718904
225.0,269.2706554499115,338.9984466027955,159.92730827718904
226.0,269.7908652514332,343.824221646342,159.92730827718904
227.0,266.84869938360225,341.44631189602705,159.92730827718904
228.0,271.7637228011701,344.50938482245607,159.92730827718904
229.0,267.5844994809977,343.8235149597968,159.92730827718904
230.0,271.0726642175691,345.91651437445256,159.92730827718904
231.0,272.0167346386201,330.46016617856515,159.92730827718904
232.0,272.41219301490037,337.5566977192221,159.92730827718904
233.0,272.75271759139696,341.90993139872234,159.92730827718904
234.0,268.73558591498016,344.0316099270912,159.92730827718904
235.0,269.47381492430014,342.6059715548153,159.92730827718904
236.0,275.8288154864063,348.96001017905803,159.92730827718904
237.0,278.941796174816,341.1564698090918,159.92730827718904
238.0,271.90952948926616,344.02383303157643,159.92730827718904
239.0,273.539507216437,349.04106504597974,159.92730827718904
240.0,272.91592223443155,345.681557667633,159.92730827718904
241.0,276.36841837763626,347.54315595233726,159.92730827718904
242.0,277.9615903908693,342.8108100004363,159.92730827718904
243.0,272.2930680806198,345.6501510496589,159.92730827718904
244.0,270.94286715380287,337.4898025316541,159.92730827718904
245.0,271.21150796697464,346.1409201911052,159.92730827718904
246.0,270.5563943205412,343.12651702389974,159.92730827718904
247.0,275.15996130296156,338.13134306405175,159.92730827718904
248.0,276.00325356452146,332.57045674637357,159.92730827718904
249.0,281.32260593563507,336.7169022164317,159.92730827718904
250.0,277.3789353747519,344.5239502753584,159.92730827718904
251.0,274.79224758529665,337.25719828162806,159.92730827718904
252.0,273.9891147168238,345.08587715544763,159.92730827718904
253.0,275.69702919713217,343.0934132495433,159.92730827718904
254.0,276.631484496155,347.44800294623394,159.92730827718904
255.0,275.85191158705055,342.239719044578,159.92730827718904
256.0,277.89409295219554,342.33993362923064,159.92730827718904
257.0,278.0772380264023,342.0323032655936,159.92730827718904
258.0,280.2707847886022,338.0377451196662,159.92730827718904
