iteration,barl,bayes,epopt
182.0,40.33905232060055,67.28275678084113,86.11697475847123
183.0,44.4533556358437,63.70622799978653,86.11697475847123
184.0,43.981941907427135,65.84912074249335,86.11697475847123
185.0,39.402641515149604,64.90689891617212,86.11697475847123
186.0,41.64288920898794,69.85833820647609,86.11697475847123
187.0,47.96049716999733,65.2263801380233,86.11697475847123
188.0,44.88199444736902,63.58750799358829,86.11697475847123
189.0,46.83174320153473,61.457873684002976,86.11697475847123
190.0,37.96585290820286,63.55694682775344,86.11697475847123
191.0,44.93543944573732,69.56708849129453,86.11697475847123
192.0,47.730022276972484,68.34748027699933,86.11697475847123
193.0,48.202444383241726,71.6242446892056,86.11697475847123
194.0,43.50073351096979,69.97380657595274,86.11697475847123
195.0,35.65522409626098,61.6815798033168,86.11697475847123
196.0,43.1609924937335,69.26063395490306,86.11697475847123
197.0,47.0565570789261,69.36571451164721,86.11697475847123
198.0,46.783587861523934,68.75789693974187,86.11697475847123
199.0,45.094132380683114,71.64452160048097,86.11697475847123
200.0,46.49347793757156,73.888153304033,86.11697475847123
201.0,50.180323435781006,69.17712570941781,86.11697475847123
202.0,49.951503458116626,67.84276384937031,86.11697475847123
203.0,52.84415392854788,67.18419950504165,86.11697475847123
204.0,43.21010844567608,69.49332536563348,86.11697475847123
205.0,53.16706030846415,74.34588066211298,86.11697475847123
206.0,50.1914201461214,69.17819791072596,86.11697475847123
207.0,53.24269600384868,78.92528440776302,86.11697475847123
208.0,49.25818732772249,78.80515923920923,86.11697475847123
209.0,53.69946370566983,72.56581077225258,86.11697475847123
210.0,47.07648937730101,64.34198628179296,86.11697475847123
211.0,52.304849595244654,76.84422594076929,86.11697475847123
212.0,52.28119369772074,76.34546130173813,86.11697475847123
213.0,48.68914729667323,71.12016259322147,86.11697475847123
214.0,50.53144528265354,71.44610019643764,86.11697475847123
215.0,57.39524378446858,70.87110303046688,86.11697475847123
216.0,53.899870626980544,74.09664962300245,86.11697475847123
217.0,53.592967167310434,76.32424745725814,86.11697475847123
218.0,53.42691102133049,71.39195092400278,86.11697475847123
219.0,54.901529631479,71.89783735542218,86.11697475847123
220.0,53.183243071207215,70.1115489853867,86.11697475847123
221.0,56.27494934817124,69.87298980680588,86.11697475847123
222.0,58.177153234544,71.01928065948617,86.11697475847123
223.0,49.973564347087695,72.83168664716104,86.11697475847123
224.0,54.527550323320405,77.16518690647611,86.11697475847123
225.0,62.28761762758364,73.51323916213312,86.11697475847123
226.0,58.503173382968846,72.67401364477419,86.11697475847123
227.0,58.182285804169744,77.54506931624735,86.11697475847123
