name,1,2,3
barl,0,154.9885,3.953075362226787
bayes,2,164.55223333333333,7.350023733851828
epopt,4,136.5087333333333,3.7733495067183815
qmdp,6,572.1698,1.590284507879013
per_mdp_optimal,8,441.684,1.0
